date,tmax,tavg,tmin
1997-06-03,22.5,14.5,3.9
1997-06-05,26.1,18.4,8.1
1997-06-06,26.8,20.2,12.0
1997-06-08,26.2,20.6,14.6
1997-06-11,28.3,20.9,10.4
1997-06-14,20.7,15.7,13.1
1997-06-15,15.9,13.2,10.9
1997-06-18,16.3,11.5,4.1
1997-06-21,19.7,14.7,11.5
1997-06-22,19.3,14.2,10.5
1997-06-23,16.9,12.7,9.1
1997-06-25,17.9,12.8,9.0
1997-06-26,17.6,13.6,10.1
1997-06-29,28.2,20.7,11.9
1997-06-30,20.2,17.0,12.4
1997-07-02,25.0,17.3,8.0
1997-07-03,23.4,18.1,14.2
1997-07-05,22.5,16.5,8.7
1997-07-07,22.3,17.9,13.0
1997-07-08,22.7,17.8,14.4
1997-07-10,26.1,19.6,13.8
1997-07-11,27.8,19.1,9.4
1997-07-13,28.4,20.1,10.6
1997-07-15,25.2,18.6,14.5
1997-07-20,20.8,16.2,12.6
1997-07-26,20.4,16.5,12.8
1997-07-27,22.3,17.4,12.3
1997-07-28,22.2,16.1,12.8
1997-07-29,23.6,16.7,12.2
1997-08-01,19.4,14.6,10.5
1997-08-02,22.1,16.6,12.2
1997-08-03,26.4,19.3,13.1
1997-08-09,29.5,21.2,13.0
1997-08-10,29.8,22.0,13.1
1997-08-12,30.4,22.9,12.9
1997-08-13,32.0,22.0,12.4
1997-08-14,28.3,21.1,13.5
1997-08-15,24.6,20.6,17.3
1997-08-16,27.5,19.2,11.6
1997-08-17,29.1,20.7,13.4
1997-08-20,28.6,20.6,15.2
1997-08-21,31.3,21.1,12.0
1997-08-25,33.4,24.1,15.7
1997-08-26,24.5,20.7,17.5
1997-08-27,26.9,21.1,17.7
1997-09-01,29.7,21.4,14.7
1997-09-02,18.9,17.5,15.8
1997-09-05,24.0,17.2,11.8
1997-09-07,17.0,13.6,8.9
1997-09-10,15.7,11.8,8.5
1997-09-13,16.9,13.4,9.0
1997-09-14,16.3,11.7,8.0
1997-09-15,18.8,10.8,3.1
1997-09-16,23.3,12.3,3.0
1997-09-19,17.1,12.2,6.9
1997-09-20,15.8,7.0,-0.5
1997-09-22,20.0,8.8,-0.5
1997-09-24,20.1,12.4,6.5
1997-09-25,23.1,11.8,2.6
1997-09-26,19.5,11.3,3.6
1997-09-29,19.4,10.5,1.1
1997-10-02,13.5,10.6,7.8
1997-10-12,13.8,7.9,4.0
1997-10-14,11.8,6.8,2.3
