date,tmax,tavg,tmin
1973-01-06,1.0,0.4,-1.0
1973-01-11,1.0,0.1,0.0
1973-01-14,5.0,1.6,-2.0
1973-01-15,6.0,3.9,2.0
1973-01-17,0.0,-0.3,-1.0
1973-01-21,2.0,1.0,0.0
1973-01-27,4.0,2.0,0.0
1973-01-30,5.0,4.2,4.0
1973-02-01,3.0,-0.1,-2.0
1973-02-03,3.0,-0.3,-3.0
1973-02-05,2.0,-2.0,-5.0
1973-02-06,1.0,-0.8,-2.0
1973-02-09,4.0,2.3,1.0
1973-02-10,2.0,0.7,0.0
1973-02-11,2.0,0.4,-1.0
1973-02-12,2.0,0.9,0.0
1973-02-19,1.0,0.7,-1.0
1973-02-21,4.0,2.7,2.0
1973-02-23,1.0,0.0,-2.0
1973-02-26,2.0,-1.3,-4.0
1973-02-27,0.0,-2.6,-5.0
1973-03-02,2.0,0.8,0.0
1973-03-08,6.0,2.1,-1.0
1973-03-09,7.0,3.2,0.0
1973-03-13,2.0,0.2,-1.0
1973-03-18,5.0,3.7,3.0
1973-03-27,8.0,5.4,3.0
1973-04-04,7.0,1.7,-3.0
1973-04-05,10.0,6.3,3.0
1973-04-07,6.0,2.5,0.0
1973-04-17,9.0,6.4,4.0
1973-04-20,5.0,2.1,0.0
1973-04-28,12.0,9.6,7.0
1973-05-01,18.0,13.3,5.0
1973-05-02,16.0,9.8,5.0
1973-05-04,17.0,14.8,11.0
1973-05-08,11.0,6.1,4.0
1973-05-20,18.0,13.7,10.0
1973-05-22,20.0,14.7,10.0
1973-05-23,17.0,13.1,9.0
1973-05-31,19.0,15.8,13.0
1973-06-03,16.0,11.8,6.0
1973-06-06,19.0,12.5,6.0
1973-06-07,18.0,12.6,9.0
1973-06-11,17.0,14.6,12.0
1973-06-15,19.0,13.7,7.0
1973-06-19,23.0,17.4,12.0
1973-07-08,18.0,15.3,13.0
1973-07-16,21.0,16.4,13.0
1973-07-22,18.0,14.0,12.0
1973-07-26,15.0,12.0,9.0
1973-07-31,24.0,17.4,11.0
1973-08-08,18.0,13.0,7.0
1973-08-12,27.0,21.3,17.0
1973-09-10,17.0,15.0,10.0
1973-09-12,17.0,11.4,6.0
1973-09-13,18.0,12.0,7.0
1973-09-23,11.0,8.1,6.0
1973-09-29,10.0,8.1,5.0
1973-10-20,9.0,6.8,6.0
1973-10-21,9.0,6.9,5.0
1973-10-28,11.0,5.5,2.0
1973-11-02,12.0,6.4,2.0
1973-11-06,4.0,2.2,0.0
1973-11-08,7.0,4.6,3.0
1973-11-09,9.0,7.9,7.0
1973-11-10,7.0,5.9,5.0
1973-11-14,7.0,4.4,2.0
1973-11-20,6.0,2.8,1.0
1973-11-23,4.0,2.9,2.0
1973-11-26,2.0,-0.5,-2.0
1973-11-30,-2.0,-4.8,-8.0
1973-12-08,7.0,3.4,-1.0
1973-12-10,-2.0,-5.7,-8.0
1973-12-13,4.0,1.4,-1.0
1973-12-23,4.0,3.4,3.0
1973-12-25,3.0,1.3,0.0
1973-12-28,2.0,1.2,1.0
1973-12-29,2.0,0.5,-2.0
1974-01-10,3.0,1.8,0.0
1974-01-20,4.0,3.0,0.0
1974-01-25,6.0,2.9,2.0
1974-01-26,2.0,-0.5,-2.0
1974-01-30,6.0,1.8,-1.0
1974-02-20,5.0,0.5,-1.0
1974-03-02,1.0,-0.4,-2.0
1974-03-05,1.0,0.1,-1.0
1974-03-07,2.0,0.3,-1.0
1974-03-08,0.0,-0.7,-1.0
1974-03-11,4.0,1.6,-1.0
1974-03-18,11.0,7.7,4.0
1974-03-19,5.0,4.3,3.0
1974-03-30,11.0,8.5,7.0
1974-03-31,15.0,10.0,6.0
1974-04-01,14.0,9.1,6.0
1974-04-06,15.0,9.9,5.0
1974-04-08,16.0,10.9,6.0
