date,tmax,tavg,tmin
1993-03-01,2.2,1.2,-1.1
1993-03-02,1.3,0.2,-0.8
1993-03-03,1.3,-0.2,-1.5
1993-03-04,3.6,0.6,-1.9
1993-03-05,4.5,3.4,-0.7
1993-03-06,6.4,4.7,-0.8
1993-03-07,7.1,2.5,0.6
1993-03-08,3.9,0.8,-1.8
1993-03-09,6.2,1.8,-3.6
1993-03-10,7.2,1.8,-1.7
1993-03-11,6.0,1.9,-1.2
1993-03-12,8.0,4.2,-1.3
1993-03-13,10.6,4.7,1.4
1993-03-14,14.1,6.2,1.6
1993-03-15,13.2,8.7,2.0
1993-03-16,9.5,5.9,5.1
1993-03-17,8.2,7.0,5.0
1993-03-18,7.6,5.0,3.2
1993-03-19,6.8,5.2,3.0
1993-03-20,8.4,5.6,4.0
1993-03-21,10.3,6.1,3.3
1993-03-22,10.0,6.8,5.0
1993-03-23,6.9,3.9,3.2
1993-03-24,6.0,3.6,2.0
1993-03-25,8.5,4.2,1.2
1993-03-26,6.7,3.6,1.0
1993-03-27,6.3,2.1,0.4
1993-03-28,4.9,0.6,-1.8
1993-03-29,5.2,1.0,-1.8
1993-03-30,7.0,2.8,-0.8
1993-03-31,6.9,4.4,-0.9
1993-04-01,9.8,6.6,4.1
1993-04-02,9.3,5.5,3.8
1993-04-03,6.7,5.1,2.3
1993-04-04,6.8,4.9,3.5
1993-04-05,11.7,7.3,4.4
1993-04-06,8.0,6.7,5.4
1993-04-07,7.2,6.1,5.1
1993-04-08,5.9,4.9,3.0
1993-04-09,6.3,3.4,1.0
1993-04-10,5.5,2.2,-0.1
1993-04-11,5.4,2.9,0.1
1993-04-12,6.0,3.8,2.0
1993-04-13,7.9,4.7,1.6
1993-04-14,9.6,4.9,2.0
1993-04-15,9.9,5.7,2.1
1993-04-16,14.0,8.2,0.8
1993-04-17,9.9,7.3,5.9
1993-04-18,7.4,5.6,4.8
1993-04-19,8.6,6.0,3.2
1993-04-20,11.6,7.3,4.1
1993-04-21,19.3,10.8,6.9
1993-04-22,19.4,12.2,5.7
1993-04-23,17.7,11.9,8.7
1993-04-24,19.4,12.6,8.6
1993-04-25,18.7,13.3,8.6
1993-04-26,21.1,14.2,8.4
1993-04-27,23.4,15.8,10.3
1993-04-28,22.6,17.1,10.3
1993-04-29,16.2,11.5,9.6
1993-04-30,18.5,13.2,8.5
1993-05-01,20.0,14.2,8.6
1993-05-02,20.9,13.7,8.6
1993-05-03,12.9,8.5,6.8
1993-05-04,11.8,8.2,5.0
1993-05-05,12.7,8.0,3.2
1993-05-06,15.1,10.4,2.7
1993-05-07,16.2,11.8,8.9
1993-05-08,16.2,11.6,7.3
1993-05-09,20.8,14.4,8.8
1993-05-10,18.4,14.8,10.7
1993-05-11,17.6,13.5,10.1
1993-05-12,18.9,14.2,10.9
1993-05-13,23.5,16.9,9.9
1993-05-14,16.6,11.9,9.9
1993-05-15,18.5,12.0,7.6
1993-05-16,15.7,11.7,6.2
1993-05-17,19.8,15.0,8.7
1993-05-18,20.2,15.5,11.2
1993-05-19,22.7,17.5,11.4
1993-05-20,23.1,17.9,12.1
1993-05-21,19.4,14.0,12.3
1993-05-22,12.3,11.6,10.9
1993-05-23,17.2,13.7,11.1
1993-05-24,20.6,15.2,11.2
1993-05-25,18.4,13.5,8.9
1993-05-26,15.7,12.0,9.9
1993-05-27,16.6,12.7,8.9
1993-05-28,13.6,10.4,9.0
1993-05-29,14.0,11.8,8.0
1993-05-30,19.5,13.8,7.8
1993-05-31,14.6,12.6,10.8
1993-06-01,14.2,12.1,10.9
1993-06-02,18.9,14.5,7.0
1993-06-03,18.4,14.4,10.3
1993-06-04,21.1,16.4,9.0
1993-06-05,21.6,16.1,10.9
1993-06-06,20.4,15.2,10.4
1993-06-07,20.0,15.6,11.0
1993-06-08,21.1,16.8,12.2
1993-06-09,23.0,18.2,12.6
1993-06-10,24.5,19.4,14.3
1993-06-11,22.9,18.9,14.7
1993-06-12,18.0,15.8,14.8
1993-06-13,20.7,15.3,13.4
1993-06-14,16.6,13.5,10.4
1993-06-15,16.1,12.4,9.1
1993-06-16,14.9,13.2,10.8
1993-06-17,16.3,13.4,11.5
1993-06-18,15.0,14.2,12.4
1993-06-19,19.1,15.2,13.0
1993-06-20,16.8,13.1,11.1
1993-06-21,15.1,12.4,10.3
