date,tmax,tavg,tmin
2017-01-29,6.0,4.6,3.0
2017-01-30,5.0,3.2,2.0
2017-01-31,3.0,2.1,2.0
2017-02-01,4.0,2.2,1.0
2017-02-02,10.0,6.5,3.0
2017-02-03,10.0,6.8,4.0
2017-02-04,9.0,6.7,5.0
2017-02-05,6.0,5.1,4.0
2017-02-06,4.0,3.3,1.0
2017-02-08,-1.0,-1.6,-2.0
2017-02-09,-2.0,-2.9,-4.0
2017-02-10,-2.0,-2.8,-4.0
2017-02-15,12.0,3.8,-4.0
2017-02-16,8.0,6.0,4.0
2017-02-17,8.0,6.1,5.0
2017-02-18,8.0,5.0,3.0
2017-02-19,7.0,5.1,4.0
2017-02-20,11.0,8.5,6.0
2017-02-21,10.0,8.0,5.0
2017-02-22,10.0,8.7,7.0
2017-02-23,10.0,7.3,4.0
2017-02-26,10.0,7.6,6.0
2017-02-27,12.0,10.1,6.0
2017-02-28,7.0,5.2,3.0
2017-03-01,8.0,4.9,2.0
2017-03-02,7.0,5.0,3.0
2017-03-03,10.0,6.0,1.0
2017-03-04,14.0,9.1,5.0
2017-03-05,12.0,7.8,5.0
2017-03-06,8.0,6.3,5.0
2017-03-07,5.0,4.2,3.0
2017-03-08,8.0,5.2,2.0
2017-03-09,10.0,7.1,5.0
2017-03-10,10.0,6.6,2.0
2017-03-11,13.0,7.7,3.0
2017-03-12,12.0,7.3,3.0
2017-03-14,14.0,8.8,4.0
2017-03-15,13.0,8.9,3.0
2017-03-17,10.0,8.0,6.0
2017-03-18,10.0,7.6,4.0
2017-03-19,12.0,9.3,6.0
2017-03-20,11.0,10.2,9.0
2017-03-21,10.0,7.0,1.0
2017-03-23,12.0,7.4,4.0
2017-03-24,13.0,7.4,2.0
2017-03-26,11.0,6.6,3.0
2017-03-31,24.0,15.7,10.0
2017-04-02,18.0,11.7,7.0
2017-04-03,15.0,9.1,3.0
2017-04-06,12.0,8.2,6.0
2017-04-07,16.0,10.8,5.0
2017-04-10,13.0,9.7,6.0
2017-04-11,13.0,8.7,4.0
2017-04-12,11.0,9.1,8.0
2017-04-13,12.0,8.3,4.0
2017-04-14,11.0,6.7,2.0
2017-04-15,11.0,8.9,6.0
2017-04-19,8.0,2.9,-3.0
2017-04-20,12.0,5.6,-4.0
2017-04-21,15.0,10.4,7.0
2017-04-22,10.0,7.2,4.0
2017-04-23,10.0,5.7,2.0
2017-04-24,12.0,7.7,1.0
2017-04-25,9.0,5.8,3.0
2017-04-28,11.0,6.9,3.0
2017-04-29,13.0,7.1,1.0
2017-04-30,17.0,10.6,2.0
2017-05-01,16.0,11.1,7.0
2017-05-02,14.0,9.8,7.0
2017-05-03,16.0,11.5,8.0
2017-05-04,11.0,9.0,7.0
2017-05-05,9.0,7.5,6.0
2017-05-06,16.0,11.4,8.0
2017-05-07,19.0,12.6,8.0
2017-05-08,14.0,9.0,5.0
2017-05-10,13.0,7.0,1.0
2017-05-11,23.0,13.4,2.0
2017-05-12,19.0,14.8,12.0
2017-05-13,21.0,15.9,11.0
2017-05-14,21.0,14.9,8.0
2017-05-15,21.0,14.9,6.0
2017-05-16,25.0,19.8,15.0
2017-05-17,29.0,22.7,14.0
2017-05-18,22.0,18.1,14.0
2017-05-19,17.0,14.0,12.0
2017-05-20,17.0,13.1,9.0
2017-05-21,21.0,14.1,5.0
2017-05-22,24.0,16.8,7.0
2017-05-23,24.0,16.7,12.0
2017-05-24,20.0,14.6,8.0
2017-05-25,21.0,15.8,11.0
2017-05-26,25.0,17.5,9.0
2017-05-27,30.0,22.7,13.0
2017-05-28,27.0,21.0,16.0
2017-05-29,30.0,21.0,13.0
2017-05-30,23.0,19.5,17.0
2017-05-31,22.0,17.0,10.0
2017-06-01,23.0,14.8,4.0
2017-06-02,27.0,19.4,8.0
2017-06-03,26.0,20.0,16.0
2017-06-04,21.0,16.3,11.0
2017-06-05,22.0,15.4,6.0
2017-06-06,20.0,15.5,12.0
2017-06-07,15.0,13.1,12.0
2017-06-08,22.0,16.5,12.0
2017-06-09,19.0,15.9,11.0
2017-06-10,21.0,16.8,10.0
2017-06-11,27.0,20.8,13.0
2017-06-12,18.0,16.0,14.0
2017-06-13,20.0,16.2,11.0
2017-06-14,24.0,16.5,6.0
2017-06-15,27.0,20.2,12.0
2017-06-16,18.0,16.7,13.0
2017-06-17,21.0,16.5,10.0
2017-06-18,27.0,20.0,10.0
2017-06-19,30.0,23.6,14.0
2017-06-20,25.0,20.0,14.0
2017-06-21,26.0,18.3,9.0
2017-06-22,33.0,23.4,16.0
2017-06-23,24.0,19.3,17.0
2017-06-24,21.0,17.5,16.0
2017-06-25,19.0,16.8,15.0
2017-06-26,20.0,15.6,11.0
2017-06-27,21.0,14.8,6.0
2017-06-28,21.0,17.5,16.0
2017-06-29,21.0,16.8,14.0
2017-06-30,20.0,16.5,15.0
2017-07-01,21.0,16.3,14.0
2017-07-02,20.0,15.7,13.0
2017-07-03,22.0,16.0,10.0
2017-07-04,21.0,16.4,12.0
2017-07-05,22.0,17.5,14.0
2017-07-06,26.0,19.9,13.0
2017-07-07,27.0,21.8,17.0
2017-07-08,21.0,18.1,14.0
2017-07-09,23.0,17.1,9.0
2017-07-10,24.0,18.4,14.0
2017-07-11,20.0,17.1,15.0
2017-07-12,16.0,14.8,12.0
2017-07-13,20.0,15.1,10.0
2017-07-14,20.0,15.2,12.0
2017-07-15,21.0,16.9,13.0
2017-07-16,20.0,18.0,16.0
2017-07-18,23.0,17.5,9.0
2017-07-19,32.0,21.2,16.0
2017-07-20,25.0,20.1,18.0
2017-07-21,23.0,17.8,12.0
2017-07-22,26.0,20.0,16.0
2017-07-23,20.0,17.0,14.0
2017-07-24,17.0,15.0,14.0
2017-07-25,19.0,16.1,13.0
2017-07-26,23.0,18.7,15.0
2017-07-27,21.0,18.3,14.0
2017-07-28,21.0,16.5,12.0
2017-07-29,20.0,17.7,15.0
2017-07-30,25.0,19.0,14.0
2017-07-31,23.0,17.8,11.0
2017-08-01,23.0,18.4,14.0
2017-08-02,23.0,17.9,12.0
2017-08-03,22.0,19.6,17.0
2017-08-04,22.0,18.0,16.0
2017-08-05,20.0,16.2,13.0
2017-08-06,22.0,15.6,10.0
2017-08-07,23.0,16.9,9.0
2017-08-08,22.0,17.2,12.0
2017-08-09,21.0,16.4,13.0
2017-08-10,22.0,16.3,10.0
2017-08-11,17.0,15.1,14.0
2017-08-12,21.0,16.1,14.0
2017-08-13,21.0,15.1,11.0
2017-08-14,23.0,17.2,9.0
2017-08-15,25.0,18.9,14.0
2017-08-16,23.0,17.7,14.0
2017-08-17,21.0,16.9,12.0
2017-08-18,21.0,17.1,15.0
2017-08-19,19.0,14.4,12.0
2017-08-20,18.0,14.6,12.0
2017-08-21,20.0,14.6,9.0
2017-08-22,21.0,14.9,9.0
2017-08-23,23.0,16.7,9.0
2017-08-24,23.0,18.7,14.0
2017-08-25,23.0,16.7,12.0
2017-08-26,24.0,17.9,12.0
2017-08-27,22.0,17.1,13.0
2017-08-28,25.0,17.9,11.0
2017-08-29,28.0,20.4,11.0
2017-08-30,23.0,19.7,17.0
2017-08-31,19.0,14.8,11.0
2017-09-01,19.0,13.2,6.0
2017-09-02,19.0,12.4,7.0
2017-09-03,20.0,13.0,6.0
2017-09-04,22.0,14.4,7.0
2017-09-05,22.0,16.5,10.0
2017-09-06,18.0,15.2,12.0
2017-09-07,18.0,14.9,12.0
2017-09-08,15.0,14.3,13.0
2017-09-09,18.0,13.5,10.0
2017-09-10,18.0,13.6,9.0
2017-09-12,16.0,13.5,12.0
2017-09-13,16.0,13.6,12.0
2017-09-14,14.0,11.8,10.0
2017-09-15,16.0,11.9,9.0
2017-09-16,13.0,10.3,7.0
2017-09-17,16.0,9.4,3.0
2017-09-18,15.0,10.4,7.0
2017-09-19,17.0,11.6,9.0
2017-09-20,16.0,12.4,10.0
2017-09-21,18.0,13.6,10.0
2017-09-22,20.0,13.6,8.0
2017-09-23,20.0,13.6,10.0
2017-09-24,19.0,13.6,9.0
2017-09-25,17.0,14.5,13.0
2017-09-26,17.0,13.8,12.0
2017-09-27,18.0,14.1,11.0
2017-09-28,17.0,14.0,11.0
2017-09-29,21.0,16.8,14.0
2017-09-30,17.0,13.9,10.0
2017-10-01,18.0,12.6,6.0
2017-10-02,18.0,15.0,13.0
